Open,High,Low,Close,Volume,Change,Action,act
361379,364325,352541,352541,1358477,-0.02179818366967534,2,2
357451,359415,347631,348613,1425317,-0.011141966466311715,2,2
349104,351559,337320,341248,2076258,-0.021126578756386016,2,2
343212,353523,318170,327500,7295632,-0.04028741560390092,2,2
360500,365000,347000,360500,5725005,0.10076335877862586,1,1
362500,365000,351000,359000,2107841,-0.004160887656033285,0,2
351500,354500,343000,347500,2006483,-0.03203342618384397,2,2
351500,356000,345000,354500,1255776,0.020143884892086295,2,2
357000,359500,353500,353500,977528,-0.0028208744710860323,2,2
355000,359500,351000,357500,956548,0.011315417256011262,0,2
359500,370000,356000,367000,1719926,0.02657342657342654,2,2
377000,386500,367000,374000,2624781,0.019073569482288777,2,2
380500,386999,370000,384000,2475166,0.02673796791443861,0,2
380000,390000,375000,381500,2083610,-0.00651041666666663,0,2
366000,374000,351000,352500,3425555,-0.07601572739187423,2,2
349000,349500,325500,329000,3398281,-0.06666666666666665,2,2
327500,346000,314000,314000,2601181,-0.045592705167173286,0,2
308000,317000,296500,312500,3300220,-0.004777070063694322,2,2
315500,324000,308000,311000,1395424,-0.0048000000000000265,1,2
314000,317500,306500,312000,1083926,0.003215434083601254,2,2
312500,315500,308000,310000,835242,-0.0064102564102563875,2,2
311500,322000,311000,321000,941127,0.03548387096774186,0,2
327500,335000,321500,322500,1256043,0.004672897196261738,2,2
326000,333000,318000,329000,1013961,0.020155038759689825,0,2
319500,338000,316000,334500,1488920,0.016717325227963542,0,2
334500,339000,322500,324000,1076910,-0.03139013452914796,2,2
334000,382999,333000,371000,6018601,0.1450617283950617,2,1
370000,370000,352500,355500,2321590,-0.0417789757412399,2,2
357500,359500,338000,347500,1922464,-0.02250351617440227,2,2
345000,349500,337500,341500,1099579,-0.01726618705035976,0,2
347500,355000,335000,341500,1997418,0.0,2,2
350000,351500,336000,336000,784558,-0.016105417276720324,0,2
336000,337500,328000,328000,984780,-0.023809523809523836,1,2
326500,332000,324500,332000,734865,0.012195121951219523,2,2
340000,343500,333000,333000,1188210,0.003012048192771122,2,2
335000,335500,324500,325000,827534,-0.024024024024024038,2,2
324500,329000,315500,321500,951224,-0.010769230769230753,0,2
320000,326500,314500,314500,671084,-0.021772939346811793,0,2
310500,318500,306000,318500,855583,0.012718600953895098,2,2
322000,322500,308500,309500,725100,-0.028257456828885363,2,2
311000,312500,296000,296000,1261921,-0.043618739903069415,2,2
292500,301000,282000,282000,1494863,-0.04729729729729726,2,2
290500,309000,286500,308000,1378139,0.09219858156028371,2,2
300000,304000,292000,297500,1062427,-0.03409090909090906,2,2
302500,307000,288500,291500,909178,-0.020168067226890796,0,2
292500,306000,290000,303000,878080,0.039451114922812947,2,2
303000,310000,297500,306500,772420,0.011551155115511635,2,2
305000,307000,300000,301500,469774,-0.01631321370309946,2,2
304000,304000,290500,291000,595881,-0.03482587064676612,2,2
288000,292000,280500,287500,853291,-0.012027491408934665,1,2
291500,296500,284000,285500,494901,-0.006956521739130417,2,2
285500,296500,284500,293000,660641,0.02626970227670755,2,2
296000,301000,293000,297000,416941,0.013651877133105783,2,2
296500,297000,289000,289000,474511,-0.026936026936026924,2,2
290500,298000,289000,296500,410799,0.02595155709342567,1,2
296500,298000,291000,293500,360539,-0.010118043844856706,2,2
295500,299500,292000,292000,401776,-0.005110732538330498,2,2
288000,290500,284000,287000,459008,-0.017123287671232834,2,2
290000,294500,286000,289000,465736,0.006968641114982521,2,2
294000,304000,291000,292500,718171,0.01211072664359869,2,2
294000,302000,292000,300000,567246,0.02564102564102555,0,2
301500,307500,299000,307500,585517,0.02499999999999991,0,2
311500,316500,304000,314000,815381,0.021138211382113914,1,2
332500,334500,322000,330500,1786627,0.052547770700636987,2,2
328500,329000,323000,323500,614957,-0.021180030257186067,2,2
326500,330000,322500,324500,529579,0.0030911901081915882,0,2
323500,327500,318000,324500,528893,0.0,2,2
324500,326000,318000,320500,500451,-0.012326656394452962,2,2
318000,319000,307000,308000,716852,-0.03900156006240252,2,2
309000,313000,302000,303500,634988,-0.01461038961038963,2,2
304000,312000,303000,306000,458016,0.008237232289950658,2,2
306500,311500,303000,311500,486544,0.017973856209150263,2,2
312500,314500,309000,309500,347094,-0.006420545746388395,2,2
309500,311000,306000,310500,342305,0.003231017770597644,2,2
312500,319000,309000,316000,573517,0.017713365539452575,1,2
317000,319000,313000,315000,407935,-0.0031645569620253333,2,2
314500,315000,309000,309500,547071,-0.01746031746031751,2,2
310500,312000,306500,308000,378139,-0.004846526655896577,2,2
308000,313500,305500,309500,569414,0.004870129870129913,2,2
306500,308000,299500,300000,1058058,-0.030694668820678506,0,2
295500,297500,290000,290500,1004575,-0.03166666666666662,2,2
292000,294500,287000,288000,772035,-0.008605851979345935,0,2
288000,291000,285000,288000,521531,0.0,1,2
288000,288500,284000,285000,716990,-0.01041666666666663,0,2
285000,285500,273500,274000,1344606,-0.038596491228070184,2,2
272500,282000,266000,270000,1371738,-0.014598540145985384,2,2
270500,277000,264000,268500,1036746,-0.005555555555555536,1,2
270000,273000,265000,266000,698855,-0.009310986964618295,1,2
265000,268000,248500,249500,1931130,-0.06203007518796988,2,2
245500,260500,244000,260000,1828139,0.04208416833667328,2,2
260000,261500,251000,252500,1153094,-0.028846153846153855,2,2
253500,272000,253000,266500,1301011,0.055445544554455495,2,2
276500,277500,269000,275000,961271,0.031894934333958735,2,2
273500,276500,266500,270500,690113,-0.016363636363636358,0,2
270500,274500,261500,262500,771734,-0.02957486136783738,2,2
260500,270500,260000,265000,862168,0.00952380952380949,2,2
265000,271500,261500,270500,571387,0.020754716981132182,2,2
274000,277000,269000,269500,571257,-0.003696857670979714,0,2
265000,273500,263500,272000,439224,0.00927643784786647,0,2
269000,272500,268500,270000,405516,-0.007352941176470562,0,2
272000,276000,268500,268500,453849,-0.005555555555555536,0,2
269000,269000,261500,262000,454113,-0.02420856610800748,0,2
263000,272000,261000,272000,535978,0.03816793893129766,2,2
270000,273000,268000,270500,285099,-0.005514705882352922,1,2
270500,272000,265000,269000,512886,-0.00554528650646946,2,2
269500,276000,268000,273500,596212,0.016728624535315983,2,2
275000,278000,274000,274500,432928,0.003656307129798808,0,2
274500,275500,270000,272500,329654,-0.007285974499089298,1,2
271500,272500,266500,266500,539104,-0.022018348623853212,2,2
266000,272000,264000,266500,510966,0.0,2,2
265500,268500,263000,267000,456306,0.0018761726078799779,2,2
268000,269500,263500,264500,350960,-0.009363295880149836,2,2
265000,271000,265000,269000,545001,0.017013232514177634,2,2
270500,271500,261500,261500,604854,-0.027881040892193343,2,2
263500,267000,261000,265500,557630,0.015296367112810794,2,2
267000,271500,264500,265500,488250,0.0,0,2
272500,281500,269000,281000,1522976,0.058380414312617646,2,2
281000,281500,275000,275000,610595,-0.02135231316725983,2,2
274500,274500,270000,271500,399618,-0.012727272727272698,2,2
270000,272000,268500,269000,387652,-0.009208103130755041,0,2
269000,272000,269000,270000,476193,0.0037174721189590088,2,2
270000,281500,268500,280500,1005972,0.03888888888888897,2,2
280000,280500,273500,274000,534404,-0.02317290552584672,0,2
275000,284000,274000,281500,955076,0.027372262773722733,0,2
283000,284500,275500,278500,550836,-0.010657193605683846,2,2
279500,281000,261000,265500,1113863,-0.04667863554757634,0,2
268500,271000,265500,266000,517932,0.0018832391713747842,2,2
266000,268000,263500,265000,341620,-0.003759398496240629,0,2
265500,271000,264500,268500,389803,0.013207547169811429,0,2
270000,270000,264500,267500,470679,-0.003724394785847296,2,2
267500,267500,264500,266000,352786,-0.005607476635513975,2,2
267000,277000,267000,273000,593492,0.026315789473684292,2,2
272000,272500,267000,267000,516632,-0.02197802197802201,2,2
267500,269000,266000,266500,309659,-0.0018726591760299671,2,2
268000,269500,266000,266000,448215,-0.0018761726078799779,2,2
264000,265500,258000,262000,663968,-0.015037593984962405,0,2
265500,267500,262500,262500,301660,0.001908396946564972,2,2
265500,267500,262500,263000,342811,0.0019047619047618536,2,2
263000,264000,260000,261000,364977,-0.0076045627376425395,0,2
262000,270000,261500,266500,458007,0.021072796934865856,2,2
264500,272000,262500,269000,578040,0.009380863039399667,2,2
271500,272000,263000,263000,463187,-0.022304832713754608,2,2
266500,275500,266000,273000,1113782,0.03802281368821303,2,2
276000,276000,267500,267500,525377,-0.020146520146520186,1,2
269500,270000,266500,269500,299521,0.007476635514018781,0,2
269000,271500,268000,268500,247979,-0.0037105751391465214,2,2
269000,270000,264000,264000,331215,-0.016759776536312887,2,2
266500,269000,262500,263500,293542,-0.0018939393939394478,1,2
263500,265000,260500,261500,333216,-0.007590132827324458,2,2
261500,263500,261000,261500,234784,0.0,0,2
261500,262000,253500,253500,627804,-0.030592734225621365,2,2
255500,264000,255500,263500,459181,0.03944773175542404,2,2
263500,265000,260500,265000,279936,0.005692599620493288,0,2
265000,272500,264500,269500,497787,0.016981132075471805,2,2
270000,275000,268500,269000,411854,-0.0018552875695733162,2,2
271000,273000,267500,271500,332369,0.009293680297397744,2,2
270500,271000,264500,266000,351775,-0.02025782688766109,0,2
266500,272000,266000,270000,459924,0.015037593984962516,2,2
272000,286000,270500,283000,1870984,0.04814814814814805,2,2
288500,291000,280000,281500,1067756,-0.005300353356890497,2,2
284000,286500,274500,275500,805209,-0.02131438721136769,0,2
274000,283000,271000,274000,785917,-0.005444646098003658,0,2
275000,277000,270000,274000,420737,0.0,2,2
271500,279500,270000,271000,500781,-0.010948905109489093,0,2
273500,276500,265000,266000,647705,-0.01845018450184499,1,2
269000,286500,269000,284000,1355766,0.06766917293233088,0,2
288000,288500,279500,282500,701570,-0.005281690140845119,2,2
282500,282500,276000,282000,449508,-0.001769911504424737,1,2
282000,289000,280500,284500,605135,0.00886524822695045,0,2
285000,297000,282500,294500,1202846,0.03514938488576447,0,2
297500,300500,290500,291000,777724,-0.011884550084889645,0,2
292500,294000,288000,293000,609839,0.0068728522336769515,0,2
293000,295500,289000,290500,421041,-0.008532423208191142,2,2
288500,292500,286500,288000,422212,-0.008605851979345935,0,2
289000,290500,283000,283000,440445,-0.01736111111111116,2,2
282500,285000,276500,278500,416665,-0.01590106007067138,2,2
279000,282000,276000,279500,345474,0.0035906642728904536,0,2
278000,280000,273000,273500,465631,-0.02146690518783545,2,2
272000,275500,267000,269000,595228,-0.01645338208409508,2,2
269500,271000,265500,267500,394088,-0.005576208178438624,2,2
266500,267000,260500,262000,505510,-0.020560747663551426,2,2
261500,265000,260500,263000,416684,0.003816793893129722,2,2
266000,275500,265500,273000,489847,0.03802281368821303,2,2
